Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	2620.0	23.971	0.041716	2.2848	13.214	8.6893	20.896	34.700	964.08	-0.091681	498.44	0.088640	supercritical
300.00	2630.0	23.985	0.041693	2.2811	13.246	8.6563	20.906	34.697	965.38	-0.091696	499.84	0.088779	supercritical
300.00	2640.0	23.999	0.041669	2.2775	13.278	8.6235	20.916	34.694	966.69	-0.091711	501.24	0.088918	supercritical
300.00	2650.0	24.012	0.041646	2.2738	13.310	8.5907	20.926	34.692	967.99	-0.091726	502.65	0.089057	supercritical
300.00	2660.0	24.026	0.041622	2.2702	13.342	8.5580	20.936	34.689	969.29	-0.091741	504.05	0.089195	supercritical
300.00	2670.0	24.039	0.041599	2.2666	13.374	8.5254	20.946	34.686	970.58	-0.091755	505.45	0.089334	supercritical
300.00	2680.0	24.052	0.041576	2.2630	13.405	8.4928	20.957	34.684	971.87	-0.091769	506.85	0.089472	supercritical
300.00	2690.0	24.066	0.041553	2.2595	13.437	8.4604	20.967	34.681	973.16	-0.091782	508.26	0.089610	supercritical
300.00	2700.0	24.079	0.041530	2.2560	13.469	8.4280	20.977	34.679	974.45	-0.091795	509.66	0.089747	supercritical
300.00	2710.0	24.092	0.041507	2.2525	13.501	8.3957	20.987	34.677	975.73	-0.091808	511.06	0.089885	supercritical
300.00	2720.0	24.105	0.041484	2.2490	13.533	8.3635	20.997	34.674	977.01	-0.091821	512.47	0.090022	supercritical
300.00	2730.0	24.119	0.041462	2.2455	13.565	8.3314	21.007	34.672	978.29	-0.091833	513.87	0.090159	supercritical
300.00	2740.0	24.132	0.041439	2.2420	13.596	8.2994	21.016	34.670	979.57	-0.091845	515.27	0.090295	supercritical
