Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	185.00	15.700	0.063693	5.5779	6.7562	25.567	17.216	54.341	373.07	0.045361	122.17	0.034271	supercritical
300.00	186.67	15.729	0.063577	5.5654	6.7522	25.518	17.215	54.120	374.55	0.044017	122.67	0.034372	supercritical
300.00	188.33	15.757	0.063463	5.5531	6.7483	25.470	17.214	53.905	376.01	0.042699	123.17	0.034472	supercritical
300.00	190.00	15.785	0.063350	5.5408	6.7445	25.422	17.213	53.695	377.46	0.041406	123.66	0.034571	supercritical
300.00	191.67	15.813	0.063240	5.5288	6.7409	25.375	17.213	53.489	378.90	0.040138	124.15	0.034670	supercritical
300.00	193.33	15.840	0.063131	5.5168	6.7373	25.328	17.212	53.288	380.32	0.038894	124.64	0.034768	supercritical
300.00	195.00	15.867	0.063023	5.5050	6.7339	25.282	17.212	53.092	381.73	0.037673	125.12	0.034866	supercritical
300.00	196.67	15.894	0.062917	5.4933	6.7307	25.236	17.212	52.899	383.13	0.036475	125.61	0.034963	supercritical
300.00	198.33	15.920	0.062813	5.4817	6.7275	25.190	17.212	52.711	384.51	0.035298	126.08	0.035059	supercritical
300.00	200.00	15.947	0.062710	5.4703	6.7245	25.145	17.212	52.527	385.89	0.034142	126.56	0.035155	supercritical
300.00	201.67	15.972	0.062608	5.4589	6.7215	25.101	17.212	52.347	387.25	0.033007	127.03	0.035250	supercritical
300.00	203.33	15.998	0.062508	5.4477	6.7187	25.056	17.213	52.170	388.60	0.031892	127.50	0.035344	supercritical
300.00	205.00	16.023	0.062409	5.4366	6.7160	25.013	17.213	51.997	389.94	0.030797	127.96	0.035438	supercritical
300.00	206.67	16.048	0.062311	5.4256	6.7134	24.969	17.214	51.827	391.26	0.029720	128.43	0.035531	supercritical
300.00	208.33	16.073	0.062215	5.4147	6.7109	24.926	17.215	51.661	392.58	0.028661	128.89	0.035624	supercritical
300.00	210.00	16.098	0.062120	5.4039	6.7084	24.884	17.215	51.498	393.89	0.027620	129.34	0.035716	supercritical
300.00	211.67	16.122	0.062026	5.3932	6.7061	24.841	17.216	51.338	395.18	0.026596	129.80	0.035808	supercritical
300.00	213.33	16.146	0.061933	5.3826	6.7039	24.800	17.218	51.182	396.47	0.025590	130.25	0.035899	supercritical
300.00	215.00	16.170	0.061842	5.3721	6.7017	24.758	17.219	51.028	397.74	0.024599	130.70	0.035990	supercritical
300.00	216.67	16.194	0.061752	5.3617	6.6997	24.717	17.220	50.877	399.01	0.023625	131.15	0.036080	supercritical
300.00	218.33	16.217	0.061662	5.3514	6.6977	24.676	17.221	50.729	400.26	0.022666	131.59	0.036170	supercritical
300.00	220.00	16.241	0.061574	5.3412	6.6959	24.636	17.223	50.583	401.51	0.021722	132.03	0.036259	supercritical
300.00	221.67	16.264	0.061487	5.3311	6.6941	24.595	17.224	50.440	402.75	0.020793	132.47	0.036348	supercritical
300.00	223.33	16.286	0.061401	5.3211	6.6924	24.556	17.226	50.300	403.98	0.019878	132.91	0.036436	supercritical
300.00	225.00	16.309	0.061316	5.3111	6.6907	24.516	17.228	50.162	405.20	0.018977	133.35	0.036524	supercritical
300.00	226.67	16.331	0.061231	5.3013	6.6892	24.477	17.229	50.027	406.41	0.018090	133.78	0.036611	supercritical
300.00	228.33	16.354	0.061148	5.2915	6.6877	24.438	17.231	49.894	407.61	0.017217	134.21	0.036698	supercritical
300.00	230.00	16.376	0.061066	5.2818	6.6863	24.399	17.233	49.763	408.80	0.016356	134.64	0.036784	supercritical
300.00	231.67	16.398	0.060985	5.2722	6.6850	24.361	17.235	49.635	409.99	0.015508	135.06	0.036870	supercritical
300.00	233.33	16.419	0.060904	5.2627	6.6838	24.323	17.237	49.508	411.17	0.014672	135.49	0.036956	supercritical
300.00	235.00	16.441	0.060825	5.2532	6.6826	24.285	17.239	49.384	412.34	0.013849	135.91	0.037041	supercritical
300.00	236.67	16.462	0.060746	5.2438	6.6815	24.248	17.241	49.262	413.50	0.013037	136.33	0.037125	supercritical
300.00	238.33	16.483	0.060668	5.2345	6.6804	24.211	17.244	49.141	414.65	0.012237	136.75	0.037210	supercritical
300.00	240.00	16.504	0.060591	5.2253	6.6795	24.174	17.246	49.023	415.80	0.011448	137.16	0.037294	supercritical
300.00	241.67	16.525	0.060515	5.2161	6.6786	24.137	17.248	48.906	416.94	0.010670	137.58	0.037377	supercritical
300.00	243.33	16.545	0.060439	5.2070	6.6777	24.101	17.251	48.792	418.07	0.0099026	137.99	0.037460	supercritical
300.00	245.00	16.566	0.060365	5.1980	6.6770	24.065	17.253	48.679	419.20	0.0091460	138.40	0.037543	supercritical
300.00	246.67	16.586	0.060291	5.1891	6.6763	24.029	17.256	48.568	420.31	0.0083997	138.81	0.037626	supercritical
300.00	248.33	16.606	0.060218	5.1802	6.6756	23.993	17.258	48.458	421.42	0.0076635	139.22	0.037708	supercritical
300.00	250.00	16.626	0.060145	5.1714	6.6750	23.958	17.261	48.351	422.53	0.0069371	139.62	0.037789	supercritical
300.00	251.67	16.646	0.060074	5.1626	6.6745	23.923	17.263	48.245	423.63	0.0062204	140.03	0.037870	supercritical
300.00	253.33	16.666	0.060003	5.1539	6.6740	23.888	17.266	48.140	424.72	0.0055131	140.43	0.037951	supercritical
300.00	255.00	16.685	0.059932	5.1453	6.6736	23.853	17.269	48.037	425.80	0.0048151	140.83	0.038032	supercritical
300.00	256.67	16.705	0.059863	5.1368	6.6732	23.819	17.271	47.936	426.88	0.0041261	141.23	0.038112	supercritical
300.00	258.33	16.724	0.059794	5.1283	6.6729	23.784	17.274	47.836	427.95	0.0034460	141.63	0.038192	supercritical
300.00	260.00	16.743	0.059725	5.1198	6.6727	23.750	17.277	47.737	429.02	0.0027746	142.02	0.038272	supercritical
300.00	261.67	16.762	0.059658	5.1115	6.6725	23.716	17.280	47.640	430.08	0.0021116	142.42	0.038351	supercritical
300.00	263.33	16.781	0.059591	5.1031	6.6724	23.683	17.283	47.544	431.13	0.0014570	142.81	0.038430	supercritical
300.00	265.00	16.800	0.059524	5.0949	6.6723	23.649	17.285	47.450	432.18	0.00081061	143.20	0.038508	supercritical
300.00	266.67	16.818	0.059459	5.0867	6.6722	23.616	17.288	47.356	433.22	0.00017219	143.59	0.038586	supercritical
300.00	268.33	16.837	0.059393	5.0785	6.6722	23.583	17.291	47.264	434.26	-0.00045838	143.98	0.038664	supercritical
300.00	270.00	16.855	0.059329	5.0704	6.6723	23.551	17.294	47.174	435.29	-0.0010813	144.36	0.038742	supercritical
300.00	271.67	16.873	0.059265	5.0624	6.6724	23.518	17.297	47.085	436.31	-0.0016966	144.75	0.038819	supercritical
300.00	273.33	16.892	0.059201	5.0544	6.6726	23.486	17.300	46.996	437.33	-0.0023045	145.13	0.038896	supercritical
300.00	275.00	16.910	0.059138	5.0465	6.6728	23.453	17.303	46.909	438.35	-0.0029052	145.52	0.038973	supercritical
300.00	276.67	16.927	0.059076	5.0386	6.6730	23.421	17.307	46.823	439.36	-0.0034988	145.90	0.039049	supercritical
300.00	278.33	16.945	0.059014	5.0308	6.6733	23.390	17.310	46.739	440.36	-0.0040854	146.28	0.039125	supercritical
300.00	280.00	16.963	0.058953	5.0230	6.6737	23.358	17.313	46.655	441.36	-0.0046651	146.66	0.039201	supercritical
300.00	281.67	16.980	0.058892	5.0153	6.6740	23.326	17.316	46.573	442.35	-0.0052381	147.03	0.039277	supercritical
300.00	283.33	16.998	0.058832	5.0076	6.6745	23.295	17.319	46.491	443.34	-0.0058045	147.41	0.039352	supercritical
300.00	285.00	17.015	0.058772	4.9999	6.6749	23.264	17.322	46.411	444.32	-0.0063644	147.78	0.039427	supercritical
300.00	286.67	17.032	0.058713	4.9924	6.6755	23.233	17.326	46.331	445.30	-0.0069179	148.16	0.039502	supercritical
300.00	288.33	17.049	0.058654	4.9848	6.6760	23.202	17.329	46.253	446.27	-0.0074652	148.53	0.039576	supercritical
300.00	290.00	17.066	0.058596	4.9773	6.6766	23.172	17.332	46.175	447.24	-0.0080063	148.90	0.039650	supercritical
300.00	291.67	17.083	0.058538	4.9699	6.6772	23.141	17.335	46.099	448.21	-0.0085414	149.27	0.039724	supercritical
300.00	293.33	17.100	0.058481	4.9625	6.6779	23.111	17.339	46.023	449.17	-0.0090706	149.64	0.039798	supercritical
300.00	295.00	17.116	0.058424	4.9551	6.6786	23.081	17.342	45.949	450.12	-0.0095940	150.01	0.039871	supercritical
300.00	296.67	17.133	0.058367	4.9478	6.6794	23.051	17.345	45.875	451.07	-0.010112	150.37	0.039944	supercritical
300.00	298.33	17.149	0.058311	4.9406	6.6802	23.021	17.349	45.802	452.02	-0.010624	150.74	0.040017	supercritical
300.00	300.00	17.166	0.058256	4.9333	6.6810	22.992	17.352	45.730	452.96	-0.011130	151.10	0.040090	supercritical
300.00	301.67	17.182	0.058201	4.9262	6.6819	22.962	17.356	45.659	453.89	-0.011631	151.47	0.040162	supercritical
300.00	303.33	17.198	0.058146	4.9190	6.6828	22.933	17.359	45.589	454.83	-0.012127	151.83	0.040234	supercritical
300.00	305.00	17.214	0.058092	4.9119	6.6837	22.904	17.362	45.519	455.75	-0.012617	152.19	0.040306	supercritical
300.00	306.67	17.230	0.058038	4.9049	6.6847	22.875	17.366	45.450	456.68	-0.013103	152.55	0.040378	supercritical
300.00	308.33	17.246	0.057984	4.8979	6.6857	22.846	17.369	45.382	457.60	-0.013583	152.91	0.040449	supercritical
300.00	310.00	17.262	0.057931	4.8909	6.6867	22.817	17.373	45.315	458.51	-0.014058	153.27	0.040520	supercritical
300.00	311.67	17.278	0.057879	4.8839	6.6878	22.789	17.376	45.249	459.43	-0.014528	153.62	0.040591	supercritical
300.00	313.33	17.293	0.057826	4.8771	6.6889	22.760	17.380	45.183	460.33	-0.014994	153.98	0.040662	supercritical
300.00	315.00	17.309	0.057774	4.8702	6.6901	22.732	17.383	45.118	461.24	-0.015455	154.33	0.040732	supercritical
300.00	316.67	17.324	0.057723	4.8634	6.6913	22.704	17.387	45.054	462.14	-0.015911	154.69	0.040802	supercritical
300.00	318.33	17.340	0.057672	4.8566	6.6925	22.676	17.390	44.991	463.03	-0.016362	155.04	0.040872	supercritical
300.00	320.00	17.355	0.057621	4.8498	6.6937	22.648	17.394	44.928	463.92	-0.016809	155.39	0.040942	supercritical
300.00	321.67	17.370	0.057571	4.8431	6.6950	22.620	17.397	44.866	464.81	-0.017251	155.75	0.041012	supercritical
300.00	323.33	17.385	0.057521	4.8365	6.6963	22.593	17.401	44.805	465.70	-0.017689	156.10	0.041081	supercritical
300.00	325.00	17.400	0.057471	4.8298	6.6976	22.565	17.405	44.744	466.58	-0.018123	156.44	0.041150	supercritical
300.00	326.67	17.415	0.057422	4.8232	6.6990	22.538	17.408	44.684	467.45	-0.018553	156.79	0.041219	supercritical
300.00	328.33	17.430	0.057373	4.8167	6.7004	22.510	17.412	44.624	468.33	-0.018978	157.14	0.041288	supercritical
300.00	330.00	17.445	0.057324	4.8101	6.7018	22.483	17.415	44.565	469.20	-0.019399	157.49	0.041356	supercritical
300.00	331.67	17.459	0.057276	4.8036	6.7033	22.456	17.419	44.507	470.06	-0.019816	157.83	0.041425	supercritical
300.00	333.33	17.474	0.057228	4.7972	6.7048	22.430	17.423	44.450	470.93	-0.020229	158.18	0.041493	supercritical
300.00	335.00	17.489	0.057180	4.7908	6.7063	22.403	17.426	44.393	471.79	-0.020638	158.52	0.041561	supercritical
300.00	336.67	17.503	0.057133	4.7844	6.7078	22.376	17.430	44.336	472.64	-0.021044	158.87	0.041628	supercritical
300.00	338.33	17.518	0.057086	4.7780	6.7094	22.350	17.433	44.280	473.49	-0.021445	159.21	0.041696	supercritical
300.00	340.00	17.532	0.057039	4.7717	6.7110	22.323	17.437	44.225	474.34	-0.021843	159.55	0.041763	supercritical
300.00	341.67	17.546	0.056992	4.7654	6.7126	22.297	17.441	44.170	475.19	-0.022237	159.89	0.041830	supercritical
300.00	343.33	17.560	0.056946	4.7591	6.7143	22.271	17.444	44.116	476.03	-0.022627	160.23	0.041897	supercritical
300.00	345.00	17.575	0.056901	4.7529	6.7159	22.245	17.448	44.063	476.87	-0.023013	160.57	0.041964	supercritical
300.00	346.67	17.589	0.056855	4.7467	6.7176	22.219	17.452	44.010	477.71	-0.023397	160.91	0.042030	supercritical
300.00	348.33	17.603	0.056810	4.7405	6.7194	22.193	17.455	43.957	478.54	-0.023776	161.25	0.042097	supercritical
300.00	350.00	17.617	0.056765	4.7343	6.7211	22.167	17.459	43.905	479.37	-0.024152	161.58	0.042163	supercritical
300.00	351.67	17.630	0.056720	4.7282	6.7229	22.142	17.463	43.853	480.20	-0.024525	161.92	0.042229	supercritical
